Border,Date,Measure,Value,Average
US-Canada Border,01/01/2014 12:00:00 AM,Personal Vehicles,2023416910,1057359517
US-Mexico Border,01/01/2014 12:00:00 AM,Pedestrians,820605751,415869940
US-Canada Border,01/01/2014 12:00:00 AM,Pedestrians,817027239,414935215
US-Mexico Border,01/01/2014 12:00:00 AM,Truck Containers Full,132340621,62624856
US-Canada Border,01/01/2014 12:00:00 AM,Truck Containers Full,132032687,62463849
US-Mexico Border,01/01/2014 12:00:00 AM,Bus Passengers,120874305,64486820
US-Canada Border,01/01/2014 12:00:00 AM,Bus Passengers,120643717,64356595
US-Mexico Border,01/01/2014 12:00:00 AM,Truck Containers Empty,47623096,22769820
US-Canada Border,01/01/2014 12:00:00 AM,Truck Containers Empty,47486730,22712423
US-Mexico Border,01/01/2014 12:00:00 AM,Rail Containers Full,27118714,12149014
US-Canada Border,01/01/2014 12:00:00 AM,Rail Containers Full,27086872,12114442
US-Mexico Border,01/01/2014 12:00:00 AM,Rail Containers Empty,14740368,6185833
US-Canada Border,01/01/2014 12:00:00 AM,Rail Containers Empty,14706673,6166077
US-Mexico Border,01/01/2014 12:00:00 AM,Buses,7136498,3733278
US-Canada Border,01/01/2014 12:00:00 AM,Buses,7119705,3725418
US-Mexico Border,01/01/2014 12:00:00 AM,Train Passengers,4687051,2332857
US-Canada Border,01/01/2014 12:00:00 AM,Train Passengers,4686196,2327420
US-Mexico Border,01/01/2014 12:00:00 AM,Trains,710391,364014
US-Canada Border,01/01/2014 12:00:00 AM,Trains,709640,363214
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,4454674587,2476750643
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,4442964102,2472161492
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicles,2021311546,1055123273
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicles,2015311105,1052881537
US-Mexico Border,12/01/2013 12:00:00 AM,Pedestrians,817014558,414004447
US-Canada Border,12/01/2013 12:00:00 AM,Pedestrians,813026235,413069388
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Full,131692166,62302810
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Full,131458762,62141814
US-Mexico Border,12/01/2013 12:00:00 AM,Bus Passengers,120533490,64226300
US-Canada Border,12/01/2013 12:00:00 AM,Bus Passengers,120279044,64095657
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Empty,47372169,22655075
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Empty,47280942,22597726
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Full,26963177,12079784
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Full,26929766,12045252
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Empty,14647279,6146307
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Empty,14612334,6126583
US-Mexico Border,12/01/2013 12:00:00 AM,Buses,7113406,3717561
US-Canada Border,12/01/2013 12:00:00 AM,Buses,7094510,3709682
US-Mexico Border,12/01/2013 12:00:00 AM,Train Passengers,4673213,2321960
US-Canada Border,12/01/2013 12:00:00 AM,Train Passengers,4672922,2316505
US-Mexico Border,12/01/2013 12:00:00 AM,Trains,707284,362412
US-Canada Border,12/01/2013 12:00:00 AM,Trains,706505,361612
US-Mexico Border,11/01/2013 12:00:00 AM,Personal Vehicle Passengers,4438210334,2467578230
US-Canada Border,11/01/2013 12:00:00 AM,Personal Vehicle Passengers,4427933002,2462984682
US-Mexico Border,11/01/2013 12:00:00 AM,Personal Vehicles,2012786777,1050643328
US-Canada Border,11/01/2013 12:00:00 AM,Personal Vehicles,2007249532,1048400570
US-Mexico Border,11/01/2013 12:00:00 AM,Pedestrians,813012388,412139256
US-Canada Border,11/01/2013 12:00:00 AM,Pedestrians,809409789,411204820
US-Mexico Border,11/01/2013 12:00:00 AM,Truck Containers Full,131158637,61980612
US-Canada Border,11/01/2013 12:00:00 AM,Truck Containers Full,130862564,61819358
US-Mexico Border,11/01/2013 12:00:00 AM,Bus Passengers,120136224,63964998
US-Canada Border,11/01/2013 12:00:00 AM,Bus Passengers,119942238,63834063
US-Mexico Border,11/01/2013 12:00:00 AM,Truck Containers Empty,47190232,22540324
US-Canada Border,11/01/2013 12:00:00 AM,Truck Containers Empty,47060004,22482865
US-Mexico Border,11/01/2013 12:00:00 AM,Rail Containers Full,26808940,12010637
US-Canada Border,11/01/2013 12:00:00 AM,Rail Containers Full,26769572,11976142
US-Mexico Border,11/01/2013 12:00:00 AM,Rail Containers Empty,14557271,6106849
US-Canada Border,11/01/2013 12:00:00 AM,Rail Containers Empty,14520036,6087151
US-Mexico Border,11/01/2013 12:00:00 AM,Buses,7088208,3701810
US-Canada Border,11/01/2013 12:00:00 AM,Buses,7071334,3693917
US-Mexico Border,11/01/2013 12:00:00 AM,Train Passengers,4657543,2311025
US-Canada Border,11/01/2013 12:00:00 AM,Train Passengers,4657175,2305555
US-Mexico Border,11/01/2013 12:00:00 AM,Trains,704188,360810
US-Canada Border,11/01/2013 12:00:00 AM,Trains,703362,360009
US-Mexico Border,10/01/2013 12:00:00 AM,Personal Vehicle Passengers,4423281722,2458393681
US-Canada Border,10/01/2013 12:00:00 AM,Personal Vehicle Passengers,4413150731,2453792070
US-Mexico Border,10/01/2013 12:00:00 AM,Personal Vehicles,2004700989,1046160268
US-Canada Border,10/01/2013 12:00:00 AM,Personal Vehicles,1999036910,1043915442
US-Mexico Border,10/01/2013 12:00:00 AM,Pedestrians,809391347,410274434
US-Canada Border,10/01/2013 12:00:00 AM,Pedestrians,805903659,409339734
US-Mexico Border,10/01/2013 12:00:00 AM,Truck Containers Full,130529321,61658042
US-Canada Border,10/01/2013 12:00:00 AM,Truck Containers Full,130235294,61496751
US-Mexico Border,10/01/2013 12:00:00 AM,Bus Passengers,119774668,63702969
US-Canada Border,10/01/2013 12:00:00 AM,Bus Passengers,119592145,63571654
US-Mexico Border,10/01/2013 12:00:00 AM,Truck Containers Empty,46960683,22425441
US-Canada Border,10/01/2013 12:00:00 AM,Truck Containers Empty,46832508,22367982
US-Mexico Border,10/01/2013 12:00:00 AM,Rail Containers Full,26634117,11941578
US-Canada Border,10/01/2013 12:00:00 AM,Rail Containers Full,26593970,11907169
US-Mexico Border,10/01/2013 12:00:00 AM,Rail Containers Empty,14458420,6067448
US-Canada Border,10/01/2013 12:00:00 AM,Rail Containers Empty,14420023,6047797
US-Mexico Border,10/01/2013 12:00:00 AM,Buses,7063956,3686025
US-Canada Border,10/01/2013 12:00:00 AM,Buses,7047187,3678115
US-Mexico Border,10/01/2013 12:00:00 AM,Train Passengers,4645115,2300061
US-Canada Border,10/01/2013 12:00:00 AM,Train Passengers,4644754,2294569
US-Mexico Border,10/01/2013 12:00:00 AM,Trains,700825,359207
US-Canada Border,10/01/2013 12:00:00 AM,Trains,699989,358407
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,4408176853,2449192636
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,4398398332,2444583262
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicles,1996263364,1041673373
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicles,1990873873,1039427279
US-Mexico Border,09/01/2013 12:00:00 AM,Pedestrians,805851740,408408833
US-Canada Border,09/01/2013 12:00:00 AM,Pedestrians,802655653,407473673
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Full,129844156,61335393
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Full,129570685,61174195
US-Mexico Border,09/01/2013 12:00:00 AM,Bus Passengers,119384048,63440150
US-Canada Border,09/01/2013 12:00:00 AM,Bus Passengers,119206378,63308517
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Empty,46714226,22310553
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Empty,46586426,22253133
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Full,26453141,11872693
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Full,26414830,11838386
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Empty,14349919,6028144
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Empty,14317466,6008563
US-Mexico Border,09/01/2013 12:00:00 AM,Buses,7038369,3670206
US-Canada Border,09/01/2013 12:00:00 AM,Buses,7022201,3662281
US-Mexico Border,09/01/2013 12:00:00 AM,Train Passengers,4629204,2289052
US-Canada Border,09/01/2013 12:00:00 AM,Train Passengers,4628910,2283545
US-Mexico Border,09/01/2013 12:00:00 AM,Trains,697328,357605
US-Canada Border,09/01/2013 12:00:00 AM,Trains,696535,356806
US-Mexico Border,08/01/2013 12:00:00 AM,Personal Vehicle Passengers,4393288382,2439975207
US-Canada Border,08/01/2013 12:00:00 AM,Personal Vehicle Passengers,4382604129,2435357446
US-Mexico Border,08/01/2013 12:00:00 AM,Personal Vehicles,1988032108,1037183301
US-Canada Border,08/01/2013 12:00:00 AM,Personal Vehicles,1982060680,1034935432
US-Mexico Border,08/01/2013 12:00:00 AM,Pedestrians,802612410,406541640
US-Canada Border,08/01/2013 12:00:00 AM,Pedestrians,799120924,405605303
US-Mexico Border,08/01/2013 12:00:00 AM,Truck Containers Full,129218196,61012883
US-Canada Border,08/01/2013 12:00:00 AM,Truck Containers Full,128920947,60851641
US-Mexico Border,08/01/2013 12:00:00 AM,Bus Passengers,118975924,63176683
US-Canada Border,08/01/2013 12:00:00 AM,Bus Passengers,118690498,63044770
US-Mexico Border,08/01/2013 12:00:00 AM,Truck Containers Empty,46464587,22195743
US-Canada Border,08/01/2013 12:00:00 AM,Truck Containers Empty,46324873,22138370
US-Mexico Border,08/01/2013 12:00:00 AM,Rail Containers Full,26286680,11804008
US-Canada Border,08/01/2013 12:00:00 AM,Rail Containers Full,26246223,11769770
US-Mexico Border,08/01/2013 12:00:00 AM,Rail Containers Empty,14253691,5988967
US-Canada Border,08/01/2013 12:00:00 AM,Rail Containers Empty,14220367,5969428
US-Mexico Border,08/01/2013 12:00:00 AM,Buses,7011627,3654356
US-Canada Border,08/01/2013 12:00:00 AM,Buses,6993161,3646420
US-Mexico Border,08/01/2013 12:00:00 AM,Train Passengers,4599026,2278014
US-Canada Border,08/01/2013 12:00:00 AM,Train Passengers,4598666,2272527
US-Mexico Border,08/01/2013 12:00:00 AM,Trains,694074,356005
US-Canada Border,08/01/2013 12:00:00 AM,Trains,693253,355205
US-Mexico Border,07/01/2013 12:00:00 AM,Personal Vehicle Passengers,4374796137,2430743117
US-Canada Border,07/01/2013 12:00:00 AM,Personal Vehicle Passengers,4363853928,2426125414
US-Mexico Border,07/01/2013 12:00:00 AM,Personal Vehicles,1978319322,1032691059
US-Canada Border,07/01/2013 12:00:00 AM,Personal Vehicles,1972604070,1030444911
US-Mexico Border,07/01/2013 12:00:00 AM,Pedestrians,799045606,404672802
US-Canada Border,07/01/2013 12:00:00 AM,Pedestrians,795683106,403736049
US-Mexico Border,07/01/2013 12:00:00 AM,Truck Containers Full,128575576,60690339
US-Canada Border,07/01/2013 12:00:00 AM,Truck Containers Full,128282250,60529092
US-Mexico Border,07/01/2013 12:00:00 AM,Bus Passengers,118394212,62912908
US-Canada Border,07/01/2013 12:00:00 AM,Bus Passengers,118066123,62781123
US-Mexico Border,07/01/2013 12:00:00 AM,Truck Containers Empty,46208616,22081056
US-Canada Border,07/01/2013 12:00:00 AM,Truck Containers Empty,46071205,22023746
US-Mexico Border,07/01/2013 12:00:00 AM,Rail Containers Full,26117172,11735465
US-Canada Border,07/01/2013 12:00:00 AM,Rail Containers Full,26079200,11701304
US-Mexico Border,07/01/2013 12:00:00 AM,Rail Containers Empty,14152247,5949876
US-Canada Border,07/01/2013 12:00:00 AM,Rail Containers Empty,14120277,5930393
US-Mexico Border,07/01/2013 12:00:00 AM,Buses,6980761,3638489
US-Canada Border,07/01/2013 12:00:00 AM,Buses,6960929,3630550
US-Mexico Border,07/01/2013 12:00:00 AM,Train Passengers,4556078,2267015
US-Canada Border,07/01/2013 12:00:00 AM,Train Passengers,4555721,2261578
US-Mexico Border,07/01/2013 12:00:00 AM,Trains,690781,354404
US-Canada Border,07/01/2013 12:00:00 AM,Trains,689997,353605
US-Mexico Border,06/01/2013 12:00:00 AM,Personal Vehicle Passengers,4356793559,2421511775
US-Canada Border,06/01/2013 12:00:00 AM,Personal Vehicle Passengers,4346710338,2416892964
US-Mexico Border,06/01/2013 12:00:00 AM,Personal Vehicles,1969086997,1028201675
US-Canada Border,06/01/2013 12:00:00 AM,Personal Vehicles,1963636903,1025956125
US-Mexico Border,06/01/2013 12:00:00 AM,Pedestrians,795614292,402802842
US-Canada Border,06/01/2013 12:00:00 AM,Pedestrians,792477074,401865344
US-Mexico Border,06/01/2013 12:00:00 AM,Truck Containers Full,127953144,60367775
US-Canada Border,06/01/2013 12:00:00 AM,Truck Containers Full,127669398,60206473
US-Mexico Border,06/01/2013 12:00:00 AM,Bus Passengers,117815298,62649492
US-Canada Border,06/01/2013 12:00:00 AM,Bus Passengers,117593319,62517832
US-Mexico Border,06/01/2013 12:00:00 AM,Truck Containers Empty,45951965,21966490
US-Canada Border,06/01/2013 12:00:00 AM,Truck Containers Empty,45834143,21909245
US-Mexico Border,06/01/2013 12:00:00 AM,Rail Containers Full,25958116,11667071
US-Canada Border,06/01/2013 12:00:00 AM,Rail Containers Full,25917981,11632964
US-Mexico Border,06/01/2013 12:00:00 AM,Rail Containers Empty,14055283,5910893
US-Canada Border,06/01/2013 12:00:00 AM,Rail Containers Empty,14025250,5891456
US-Mexico Border,06/01/2013 12:00:00 AM,Buses,6948790,3622621
US-Canada Border,06/01/2013 12:00:00 AM,Buses,6931299,3614682
US-Mexico Border,06/01/2013 12:00:00 AM,Train Passengers,4509542,2256115
US-Canada Border,06/01/2013 12:00:00 AM,Train Passengers,4509190,2250737
US-Mexico Border,06/01/2013 12:00:00 AM,Trains,687600,352804
US-Canada Border,06/01/2013 12:00:00 AM,Trains,686841,352005
US-Mexico Border,05/01/2013 12:00:00 AM,Personal Vehicle Passengers,4341018455,2412276176
US-Canada Border,05/01/2013 12:00:00 AM,Personal Vehicle Passengers,4330924363,2407650894
US-Mexico Border,05/01/2013 12:00:00 AM,Personal Vehicles,1960615331,1023712870
US-Canada Border,05/01/2013 12:00:00 AM,Personal Vehicles,1955072817,1021466101
US-Mexico Border,05/01/2013 12:00:00 AM,Pedestrians,792426330,400930866
US-Canada Border,05/01/2013 12:00:00 AM,Pedestrians,789089499,399992028
US-Mexico Border,05/01/2013 12:00:00 AM,Truck Containers Full,127336865,60045079
US-Canada Border,05/01/2013 12:00:00 AM,Truck Containers Full,127007596,59883708
US-Mexico Border,05/01/2013 12:00:00 AM,Bus Passengers,117352224,62386072
US-Canada Border,05/01/2013 12:00:00 AM,Bus Passengers,117123979,62254259
US-Mexico Border,05/01/2013 12:00:00 AM,Truck Containers Empty,45713983,21852009
US-Canada Border,05/01/2013 12:00:00 AM,Truck Containers Empty,45576069,21794786
US-Mexico Border,05/01/2013 12:00:00 AM,Rail Containers Full,25794538,11598789
US-Canada Border,05/01/2013 12:00:00 AM,Rail Containers Full,25757529,11564746
US-Mexico Border,05/01/2013 12:00:00 AM,Rail Containers Empty,13960561,5871997
US-Canada Border,05/01/2013 12:00:00 AM,Rail Containers Empty,13929413,5852600
US-Mexico Border,05/01/2013 12:00:00 AM,Buses,6919643,3606748
US-Canada Border,05/01/2013 12:00:00 AM,Buses,6902066,3598803
US-Mexico Border,05/01/2013 12:00:00 AM,Train Passengers,4470617,2245334
US-Canada Border,05/01/2013 12:00:00 AM,Train Passengers,4470229,2239998
US-Mexico Border,05/01/2013 12:00:00 AM,Trains,684440,351204
US-Canada Border,05/01/2013 12:00:00 AM,Trains,683635,350405
US-Mexico Border,04/01/2013 12:00:00 AM,Personal Vehicle Passengers,4325780004,2403027641
US-Canada Border,04/01/2013 12:00:00 AM,Personal Vehicle Passengers,4316135228,2398394503
US-Mexico Border,04/01/2013 12:00:00 AM,Personal Vehicles,1952212397,1019221855
US-Canada Border,04/01/2013 12:00:00 AM,Personal Vehicles,1946798266,1016973685
US-Mexico Border,04/01/2013 12:00:00 AM,Pedestrians,789049408,399056698
US-Canada Border,04/01/2013 12:00:00 AM,Pedestrians,785697620,398116956
US-Mexico Border,04/01/2013 12:00:00 AM,Truck Containers Full,126658709,59722352
US-Canada Border,04/01/2013 12:00:00 AM,Truck Containers Full,126337206,59561060
US-Mexico Border,04/01/2013 12:00:00 AM,Bus Passengers,116872465,62122360
US-Canada Border,04/01/2013 12:00:00 AM,Bus Passengers,116644897,61990432
US-Mexico Border,04/01/2013 12:00:00 AM,Truck Containers Empty,45452188,21737619
US-Canada Border,04/01/2013 12:00:00 AM,Truck Containers Empty,45313730,21680476
US-Mexico Border,04/01/2013 12:00:00 AM,Rail Containers Full,25630616,11530629
US-Canada Border,04/01/2013 12:00:00 AM,Rail Containers Full,25597130,11496653
US-Mexico Border,04/01/2013 12:00:00 AM,Rail Containers Empty,13863489,5833184
US-Canada Border,04/01/2013 12:00:00 AM,Rail Containers Empty,13831033,5813834
US-Mexico Border,04/01/2013 12:00:00 AM,Buses,6891360,3590863
US-Canada Border,04/01/2013 12:00:00 AM,Buses,6874585,3582910
US-Mexico Border,04/01/2013 12:00:00 AM,Train Passengers,4442739,2234637
US-Canada Border,04/01/2013 12:00:00 AM,Train Passengers,4442353,2229316
US-Mexico Border,04/01/2013 12:00:00 AM,Trains,680939,349604
US-Canada Border,04/01/2013 12:00:00 AM,Trains,680185,348806
US-Mexico Border,03/01/2013 12:00:00 AM,Personal Vehicle Passengers,4311767197,2393762279
US-Canada Border,03/01/2013 12:00:00 AM,Personal Vehicle Passengers,4301520359,2389118199
US-Mexico Border,03/01/2013 12:00:00 AM,Personal Vehicles,1944357148,1014727731
US-Canada Border,03/01/2013 12:00:00 AM,Personal Vehicles,1938811385,1012476813
US-Mexico Border,03/01/2013 12:00:00 AM,Pedestrians,785670408,397180771
US-Canada Border,03/01/2013 12:00:00 AM,Pedestrians,782038698,396240118
US-Mexico Border,03/01/2013 12:00:00 AM,Truck Containers Full,125979628,59399765
US-Canada Border,03/01/2013 12:00:00 AM,Truck Containers Full,125677969,59238554
US-Mexico Border,03/01/2013 12:00:00 AM,Bus Passengers,116439967,61858417
US-Canada Border,03/01/2013 12:00:00 AM,Bus Passengers,116159376,61726258
US-Mexico Border,03/01/2013 12:00:00 AM,Truck Containers Empty,45195242,21623391
US-Canada Border,03/01/2013 12:00:00 AM,Truck Containers Empty,45070015,21566316
US-Mexico Border,03/01/2013 12:00:00 AM,Rail Containers Full,25468702,11462594
US-Canada Border,03/01/2013 12:00:00 AM,Rail Containers Full,25429508,11428681
US-Mexico Border,03/01/2013 12:00:00 AM,Rail Containers Empty,13769807,5794469
US-Canada Border,03/01/2013 12:00:00 AM,Rail Containers Empty,13737580,5775158
US-Mexico Border,03/01/2013 12:00:00 AM,Buses,6867150,3574959
US-Canada Border,03/01/2013 12:00:00 AM,Buses,6849273,3566987
US-Mexico Border,03/01/2013 12:00:00 AM,Train Passengers,4428256,2223970
US-Canada Border,03/01/2013 12:00:00 AM,Train Passengers,4427869,2218633
US-Mexico Border,03/01/2013 12:00:00 AM,Trains,677660,348005
US-Canada Border,03/01/2013 12:00:00 AM,Trains,676889,347207
US-Mexico Border,02/01/2013 12:00:00 AM,Personal Vehicle Passengers,4296477297,2384476446
US-Canada Border,02/01/2013 12:00:00 AM,Personal Vehicle Passengers,4287709660,2379824376
US-Mexico Border,02/01/2013 12:00:00 AM,Personal Vehicles,1936185633,1010228428
US-Canada Border,02/01/2013 12:00:00 AM,Personal Vehicles,1931227516,1007975491
US-Mexico Border,02/01/2013 12:00:00 AM,Pedestrians,782018985,395303714
US-Canada Border,02/01/2013 12:00:00 AM,Pedestrians,778769203,394362801
US-Mexico Border,02/01/2013 12:00:00 AM,Truck Containers Full,125340404,59077294
US-Canada Border,02/01/2013 12:00:00 AM,Truck Containers Full,125056638,58916069
US-Mexico Border,02/01/2013 12:00:00 AM,Bus Passengers,116004296,61594139
US-Canada Border,02/01/2013 12:00:00 AM,Bus Passengers,115815991,61461754
US-Mexico Border,02/01/2013 12:00:00 AM,Truck Containers Empty,44956215,21509268
US-Canada Border,02/01/2013 12:00:00 AM,Truck Containers Empty,44832841,21452220
US-Mexico Border,02/01/2013 12:00:00 AM,Rail Containers Full,25296863,11394699
US-Canada Border,02/01/2013 12:00:00 AM,Rail Containers Full,25262978,11360873
US-Mexico Border,02/01/2013 12:00:00 AM,Rail Containers Empty,13671242,5755832
US-Canada Border,02/01/2013 12:00:00 AM,Rail Containers Empty,13641427,5736573
US-Mexico Border,02/01/2013 12:00:00 AM,Buses,6842359,3559021
US-Canada Border,02/01/2013 12:00:00 AM,Buses,6826780,3551032
US-Mexico Border,02/01/2013 12:00:00 AM,Train Passengers,4412352,2213271
US-Canada Border,02/01/2013 12:00:00 AM,Train Passengers,4412028,2207920
US-Mexico Border,02/01/2013 12:00:00 AM,Trains,674441,346407
US-Canada Border,02/01/2013 12:00:00 AM,Trains,673741,345609
US-Mexico Border,01/01/2013 12:00:00 AM,Personal Vehicle Passengers,4283873300,2375170997
US-Canada Border,01/01/2013 12:00:00 AM,Personal Vehicle Passengers,4274108704,2370504243
US-Mexico Border,01/01/2013 12:00:00 AM,Personal Vehicles,1929080903,1005723656
US-Canada Border,01/01/2013 12:00:00 AM,Personal Vehicles,1923721789,1003466059
US-Mexico Border,01/01/2013 12:00:00 AM,Pedestrians,778758079,393425224
US-Canada Border,01/01/2013 12:00:00 AM,Pedestrians,775395156,392483090
US-Mexico Border,01/01/2013 12:00:00 AM,Truck Containers Full,124740648,58754751
US-Canada Border,01/01/2013 12:00:00 AM,Truck Containers Full,124449119,58593416
US-Mexico Border,01/01/2013 12:00:00 AM,Bus Passengers,115699177,61329183
US-Canada Border,01/01/2013 12:00:00 AM,Bus Passengers,115445049,61196249
US-Mexico Border,01/01/2013 12:00:00 AM,Truck Containers Empty,44721962,21395194
US-Canada Border,01/01/2013 12:00:00 AM,Truck Containers Empty,44586551,21338160
US-Mexico Border,01/01/2013 12:00:00 AM,Rail Containers Full,25144250,11326966
US-Canada Border,01/01/2013 12:00:00 AM,Rail Containers Full,25115186,11293183
US-Mexico Border,01/01/2013 12:00:00 AM,Rail Containers Empty,13586843,5717293
US-Canada Border,01/01/2013 12:00:00 AM,Rail Containers Empty,13555959,5698052
US-Mexico Border,01/01/2013 12:00:00 AM,Buses,6820966,3543042
US-Canada Border,01/01/2013 12:00:00 AM,Buses,6803070,3535028
US-Mexico Border,01/01/2013 12:00:00 AM,Train Passengers,4401430,2202545
US-Canada Border,01/01/2013 12:00:00 AM,Train Passengers,4401099,2197168
US-Mexico Border,01/01/2013 12:00:00 AM,Trains,671628,344808
US-Canada Border,01/01/2013 12:00:00 AM,Trains,670915,344009
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,4270202577,2365838546
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,4259231284,2361159519
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicles,1921490489,1001210531
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicles,1915881639,998949400
US-Mexico Border,12/01/2012 12:00:00 AM,Pedestrians,775381955,391544580
US-Canada Border,12/01/2012 12:00:00 AM,Pedestrians,771458513,390601491
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Full,124109893,58432005
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Full,123857825,58270634
US-Mexico Border,12/01/2012 12:00:00 AM,Bus Passengers,115334590,61063286
US-Canada Border,12/01/2012 12:00:00 AM,Bus Passengers,115070970,60929941
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Empty,44466043,21281179
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Empty,44348531,21224213
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Full,24986577,11259305
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Full,24953989,11225577
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Empty,13500651,5678792
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Empty,13470566,5659574
US-Mexico Border,12/01/2012 12:00:00 AM,Buses,6797054,3527018
US-Canada Border,12/01/2012 12:00:00 AM,Buses,6777249,3518983
US-Mexico Border,12/01/2012 12:00:00 AM,Train Passengers,4389537,2191766
US-Canada Border,12/01/2012 12:00:00 AM,Train Passengers,4389228,2186367
US-Mexico Border,12/01/2012 12:00:00 AM,Trains,668596,343208
US-Canada Border,12/01/2012 12:00:00 AM,Trains,667853,342409
US-Mexico Border,11/01/2012 12:00:00 AM,Personal Vehicle Passengers,4254383590,2356484466
US-Canada Border,11/01/2012 12:00:00 AM,Personal Vehicle Passengers,4244720681,2351798295
US-Mexico Border,11/01/2012 12:00:00 AM,Personal Vehicles,1913336360,996690947
US-Canada Border,11/01/2012 12:00:00 AM,Personal Vehicles,1908040428,994427625
US-Mexico Border,11/01/2012 12:00:00 AM,Pedestrians,771441701,389663419
US-Canada Border,11/01/2012 12:00:00 AM,Pedestrians,767881653,388720757
US-Mexico Border,11/01/2012 12:00:00 AM,Truck Containers Full,123570255,58109090
US-Canada Border,11/01/2012 12:00:00 AM,Truck Containers Full,123281077,57947457
US-Mexico Border,11/01/2012 12:00:00 AM,Bus Passengers,114920875,60796589
US-Canada Border,11/01/2012 12:00:00 AM,Bus Passengers,114703804,60662949
US-Mexico Border,11/01/2012 12:00:00 AM,Truck Containers Empty,44251518,21167257
US-Canada Border,11/01/2012 12:00:00 AM,Truck Containers Empty,44114932,21110259
US-Mexico Border,11/01/2012 12:00:00 AM,Rail Containers Full,24834164,11191763
US-Canada Border,11/01/2012 12:00:00 AM,Rail Containers Full,24799643,11158079
US-Mexico Border,11/01/2012 12:00:00 AM,Rail Containers Empty,13414649,5640335
US-Canada Border,11/01/2012 12:00:00 AM,Rail Containers Empty,13380643,5621139
US-Mexico Border,11/01/2012 12:00:00 AM,Buses,6770895,3510958
US-Canada Border,11/01/2012 12:00:00 AM,Buses,6753180,3502909
US-Mexico Border,11/01/2012 12:00:00 AM,Train Passengers,4376703,2180941
US-Canada Border,11/01/2012 12:00:00 AM,Train Passengers,4376394,2175519
US-Mexico Border,11/01/2012 12:00:00 AM,Trains,665581,341607
US-Canada Border,11/01/2012 12:00:00 AM,Trains,664814,340807
US-Mexico Border,10/01/2012 12:00:00 AM,Personal Vehicle Passengers,4240083629,2347112843
US-Canada Border,10/01/2012 12:00:00 AM,Personal Vehicle Passengers,4230619276,2342415645
US-Mexico Border,10/01/2012 12:00:00 AM,Personal Vehicles,1905501047,992166207
US-Canada Border,10/01/2012 12:00:00 AM,Personal Vehicles,1900148485,989899867
US-Mexico Border,10/01/2012 12:00:00 AM,Pedestrians,767862771,387782240
US-Canada Border,10/01/2012 12:00:00 AM,Pedestrians,764462288,386839112
US-Mexico Border,10/01/2012 12:00:00 AM,Truck Containers Full,122935332,57785740
US-Canada Border,10/01/2012 12:00:00 AM,Truck Containers Full,122629750,57624079
US-Mexico Border,10/01/2012 12:00:00 AM,Bus Passengers,114550313,60529184
US-Canada Border,10/01/2012 12:00:00 AM,Bus Passengers,114342684,60395137
US-Mexico Border,10/01/2012 12:00:00 AM,Truck Containers Empty,43996750,21053316
US-Canada Border,10/01/2012 12:00:00 AM,Truck Containers Empty,43840916,20996385
US-Mexico Border,10/01/2012 12:00:00 AM,Rail Containers Full,24676483,11124312
US-Canada Border,10/01/2012 12:00:00 AM,Rail Containers Full,24642100,11090684
US-Mexico Border,10/01/2012 12:00:00 AM,Rail Containers Empty,13323622,5601933
